18:45:09|Сбербанк|SBER|241.2|-0.24%|5 725.73|-1.5%|5 445.17|-11%
18:45:15|Сургнфгз-п|SNGSP|34.96|+4.16%|4 120.76|+8.4%|1 180.45|+360%
18:45:25|ГАЗПРОМ ао|GAZP|165.47|-0.43%|2 873.87|+1.5%|3 917.26|-7%
18:45:19|Yandex clA|YNDX|2495|-0.99%|2 773.74|+7.0%|814.22|-51%
18:45:15|ЛУКОЙЛ|LKOH|5086|+0.41%|2 343.39|-5.4%|3 523.92|-29%
18:45:20|ВТБ ао|VTBR|0.022765|+0.07%|2 320.28|+1.0%|493.54|-33%
18:45:29|Polymetal|POLY|533.8|-4.64%|2 098.65|-13.5%|252.82|+221%
18:45:15|Транснф ап|TRNFP|136550|+0.11%|1 902.03|-0.8%|212.32|+89%
18:45:25|TCS-гдр|TCSG|3320|-0.88%|1 714.62|-0.4%|662.07|+81%
18:45:14|МосБиржа|MOEX|126.31|+2.69%|1 383.55|+4.7%|287.53|+315%
18:45:02|ГМКНорНик|GMKN|14758|+0.14%|1 210.35|-0.2%|2 255.96|+241%
18:45:18|Роснефть|ROSN|463.9|+1.26%|1 111.49|+1.9%|4 916.49|+52%
18:45:27|АЛРОСА ао|ALRS|66.74|+1.04%|1 067.21|+1.5%|491.54|+450%
18:45:06|Сургнфгз|SNGS|25.505|+0.2%|964.47|+1.4%|1 180.45|+140%
18:45:32|МТС-ао|MTSS|328.65|+1.19%|854.92|+1.1%|656.77|-6%
18:45:16|+МосЭнерго|MSNG|3.063|-3.56%|729.31|+8.3%|121.75|-53%
18:45:24|РуссНфт ао|RNFT|131.8|+1.38%|711.67|+9.9%|38.77|+14%
18:45:28|НМТП ао|NMTP|8.945|-2.51%|673.38|+5.4%|172.28|-55%
18:45:14|Татнфт 3ао|TATN|473|+0.45%|637.50|+3.1%|1 100.14|-5%
18:45:26|БСП ап|BSPBP|77.6|-4.37%|621.52|+133.7%|78.74|+7%
18:45:31|Новатэк ао|NVTK|1349.4|+0.72%|610.20|+0.5%|4 097.19|-20%
18:45:24|Аэрофлот|AFLT|40.04|+1.42%|604.73|+0.5%|159.19|+350%
18:45:30|iQIWI|QIWI|714.5|+4.31%|600.27|+7.0%|44.87|+709%
18:45:25|VK-гдр|VKCO|634|-1.15%|596.51|+4.0%|143.46|-37%
18:45:29|Совкомфлот|FLOT|87.5|-0.22%|575.36|-6.1%|207.81|-52%
18:45:21|iПозитив|POSI|1963.6|-0.99%|548.71|+6.1%|129.60|+24%
18:45:03|Магнит ао|MGNT|4250|-0.23%|537.53|-1.3%|433.12|-27%
18:45:23|Башнефт ап|BANEP|1702|+0.83%|536.55|+0.5%|337.96|-41%
18:45:25|Полюс|PLZL|10299.5|-0.36%|500.05|-2.1%|1 401.45|-39%
18:45:23|iNVTQ-гдр|SFTL|154.4|+2.93%|496.41|+23.2%|30.87|-1%
18:45:27|Сбербанк-п|SBERP|238.4|-0.15%|423.88|-1.4%|5 445.17|-12%
18:45:24|НЛМК ао|NLMK|152.26|+0.85%|402.88|+1.7%|912.53|+40%
18:45:29|OZON-адр|OZON|1935|-0.72%|373.52|+8.4%|394.73|-52%
18:45:23|Самолет ао|SMLT|3012.5|-0.54%|344.90|-1.9%|185.51|-78%
18:45:29|iHHRU-адр|HHRU|2209|-1.82%|320.40|+8.5%|111.15|+266%
18:45:25|Мечел ао|MTLR|173.76|-0.23%|317.81|+0.4%|98.82|-69%
18:45:32|iФармсинтз|LIFE|7.69|-1.91%|316.18|+8.2%|2.31|-17%
18:45:18|КузнецкийБ|KUZB|0.0605|+7.12%|299.23|+30.2%|1.36|+111%
18:45:30|Система ао|AFKS|15.922|-0.01%|289.85|+1.0%|153.65|+51%
18:45:24|ММК|MAGN|40.96|-0.5%|272.79|-0.7%|457.70|-45%
18:45:23|СевСт-ао|CHMF|1033.8|-0.65%|232.89|-0.1%|866.03|-58%
18:45:24|ПИК ао|PIKK|708|-0.7%|176.26|+0.4%|467.63|+102%
18:45:17|РУСАЛ ао|RUAL|38.64|+0.26%|166.46|-2.0%|587.06|-36%
18:45:14|ФосАгро ао|PHOR|7461|-0.16%|154.43|-0.9%|966.20|-60%
18:45:19|МКБ ао|CBOM|6.213|-0.4%|152.94|+0.9%|207.70|-4%
18:45:23|FIXP-гдр|FIXP|377.5|-1.97%|150.91|+4.9%|322.07|+470%
18:45:13|ИнтерРАОао|IRAO|4.0705|+0.07%|144.10|-0.1%|424.96|-0%
18:45:26|ОВК ао|UWGN|153.5|-0.45%|141.11|+2.3%|17.81|+28%
18:45:26|Россети|FEES|0.09396|-0.78%|137.92|-7.6%|198.58|-7%
18:45:06|Башнефт ао|BANE|1943|-0.92%|136.79|-2.8%|337.96|+61%
18:45:26|КАМАЗ|KMAZ|187.3|-0.21%|136.61|+2.0%|132.46|+63%
18:45:31|БСП ао|BSPB|167.11|-0.75%|134.70|-1.5%|78.74|-33%
18:45:08|ТГК-14|TGKN|0.01066|+3.7%|130.60|+2.3%|14.48|+437%
18:45:25|ДВМП ао|FESH|61.32|-0.6%|118.94|-5.2%|180.97|-46%
18:45:21|СПБ Биржа|SPBE|159.8|-1.05%|114.27|+3.0%|21.23|-12%
18:45:13|FIVE-гдр|FIVE|1499|-0.99%|110.93|-0.7%|408.17|+39%
18:45:23|Сегежа|SGZH|5.175|-0.96%|110.26|+0.6%|81.20|-32%
18:45:24|GLTR-гдр|GLTR|494.6|-2.06%|110.05|+3.4%|88.39|-16%
18:45:03|Белуга ао|BELU|4217|+0.12%|109.97|+0.3%|66.63|-35%
18:45:05|Авангрд-ао|AVAN|1200|+6.19%|106.96|+14.3%|96.84|+378%
18:45:27|РСетиЦП ао|MRKP|0.236|+0.68%|106.91|+0.6%|26.60|+440%
18:45:04|РСетиЛЭ-п|LSNGP|214.95|+3.52%|103.19|+5.5%|142.79|+55%
18:45:24|Ростел -ао|RTKM|71.42|-0.54%|102.49|-3.2%|249.59|+27%
18:45:12|ЛСР ао|LSRG|777|+1.25%|97.46|+1.6%|80.05|+7%
18:45:04|CIAN-адр|CIAN|663.8|-0.93%|88.17|+10.3%|47.33|+6%
